Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Effective Date,Expiry Date,Quoted CCY,
NZD/JPY,100617,NZD/JPY,10000,0.001,10,29/09/2011,,JPY,
AUD/CHF,100619,AUD/CHF,10000,0.00001,0.1,29/09/2011,,CHF,
AUD/CAD,100667,AUD/CAD,10000,0.00001,0.1,14/03/2012,,CAD,
CAD/CHF,100671,CAD/CHF,10000,0.00001,0.1,14/03/2012,,CHF,
CAD/JPY,100669,CAD/JPY,10000,0.001,10,14/03/2012,,JPY,
NZD/CAD,100673,NZD/CAD,10000,0.00001,0.1,14/03/2012,,CAD,
NZD/CHF,100675,NZD/CHF,10000,0.00001,0.1,14/03/2012,,CHF,
NZD/SGD,100677,NZD/SGD,10000,0.00001,0.1,14/03/2012,,SGD,
UK 100,100089,UK100,1,0.1,0.1,19/07/2010,,GBP,
Wall Street 30,100091,WS30,1,1,1,19/07/2010,,USD,
US SPX 500,100093,SPX,25,0.1,2.5,19/07/2010,,USD,
US Tech 100,100095,NDX,10,0.1,1,19/07/2010,,USD,
Germany 30,100097,GDAXI,2.5,0.1,0.25,19/07/2010,,EUR,
France 40,100099,FCHI,1,0.1,0.1,19/07/2010,,EUR,
Europe 50,100101,STOXX50E,1,0.1,0.1,19/07/2010,,EUR,
Japan 225,100105,J225,100,1,100,12/04/2013,,JPY,
Gold (Spot),100637,XAU/USD,10,0.01,0.1,12/12/2011,,USD,
Silver (Spot),100639,XAG/USD,500,0.001,0.5,12/12/2011,,USD,
XAU/AUD,100803,XAU/AUD,10,0.01,0.1,20/05/2013,,AUD,
XAG/AUD,100804,XAG/AUD,500,0.001,0.5,20/05/2013,,AUD,
US Crude (Spot),100800,XTI/USD,100,0.01,1,01/04/2013,,USD,
US Crude (Jul13),100765,CLN3,100,0.01,1,17/04/2013,17/06/2013 19:30,USD,
US Crude (Aug13),100771,CLQ3,100,0.01,1,16/05/2013,17/07/2013 19:30,USD,
US Crude (Sep13),100777,CLU3,100,0.01,1,17/06/2013,15/08/2013 19:30,USD,
UK Brent (Jul13),100763,LCON3,100,0.01,1,11/04/2013,10/06/2013 19:30,USD,
UK Brent (Aug13),100769,LCOQ3,100,0.01,1,14/05/2013,11/07/2013 19:30,USD,
UK Brent (Sep13),100775,LCOU3,100,0.01,1,11/06/2013,12/08/2013 19:30,USD,
Gasoil (Jun13),100761,LGOM3,10,0.05,0.5,09/04/2013,07/06/2013 16:30,USD,
Gasoil (Jul13),100767,LGON3,10,0.05,0.5,08/05/2013,08/07/2013 16:30,USD,
Gasoil (Aug13),100773,LGOQ3,10,0.05,0.5,10/06/2013,07/08/2013 16:30,USD,
